,words,tf,idf,tfidf
0,business,6.0,2.995732273553991,17.974393641323946
1,express,16.0,0.9162907318741551,14.660651709986482
2,american,16.0,0.9162907318741551,14.660651709986482
3,card,23.0,0.5978370007556204,13.75025101737927
4,make,6.0,1.6094379124341003,9.656627474604601
5,pay,12.0,1.0498221244986776,12.59786549398413
6,account,6.0,1.8971199848858813,11.382719909315288
7,control,2.0,2.995732273553991,5.991464547107982
8,company,11.0,1.0498221244986776,11.548043369485454
9,approved,2.0,2.995732273553991,5.991464547107982
10,customer,17.0,0.43078291609245434,7.3233095735717235
11,take,2.0,2.302585092994046,4.605170185988092
12,full,6.0,1.6094379124341003,9.656627474604601
13,interest,6.0,2.302585092994046,13.815510557964275
14,new,4.0,1.6094379124341003,6.437751649736401
15,ownership,2.0,2.995732273553991,5.991464547107982
16,time,10.0,1.2039728043259361,12.03972804325936
17,get,11.0,1.0498221244986776,11.548043369485454
18,use,6.0,0.9162907318741551,5.497744391244931
19,personal,2.0,2.995732273553991,5.991464547107982
20,annual,1.0,2.995732273553991,2.995732273553991
21,approval,1.0,2.995732273553991,2.995732273553991
22,opening,1.0,2.995732273553991,2.995732273553991
23,switch,1.0,2.995732273553991,2.995732273553991
24,denied,4.0,1.8971199848858813,7.588479939543525
25,said,3.0,1.8971199848858813,5.691359954657644
26,loins,1.0,2.995732273553991,2.995732273553991
27,3,2.0,1.3862943611198906,2.772588722239781
28,horrible,1.0,2.995732273553991,2.995732273553991
29,partner,1.0,2.995732273553991,2.995732273553991
30,think,1.0,2.995732273553991,2.995732273553991
31,talk,1.0,2.995732273553991,2.995732273553991
32,financing,1.0,2.995732273553991,2.995732273553991
33,changing,1.0,2.995732273553991,2.995732273553991
34,everyone,1.0,2.995732273553991,2.995732273553991
35,open,1.0,1.6094379124341003,1.6094379124341003
36,tell,3.0,2.302585092994046,6.907755278982138
37,dusty,1.0,2.995732273553991,2.995732273553991
38,approvedlets,1.0,2.995732273553991,2.995732273553991
39,say,5.0,1.6094379124341003,8.047189562170502
40,change,1.0,2.995732273553991,2.995732273553991
41,reality,1.0,2.995732273553991,2.995732273553991
42,month,4.0,1.6094379124341003,6.437751649736401
43,fee,7.0,1.8971199848858813,13.279839894201169
44,phone,3.0,2.302585092994046,6.907755278982138
45,holder,2.0,2.302585092994046,4.605170185988092
46,making,2.0,2.302585092994046,4.605170185988092
47,network,1.0,2.995732273553991,2.995732273553991
48,year,9.0,0.9162907318741551,8.246616586867397
49,asked,6.0,1.3862943611198906,8.317766166719343
50,openly,1.0,2.995732273553991,2.995732273553991
51,support,2.0,2.302585092994046,4.605170185988092
52,avoid,3.0,1.8971199848858813,5.691359954657644
53,leaf,1.0,2.995732273553991,2.995732273553991
54,large,1.0,2.995732273553991,2.995732273553991
55,stuck,1.0,2.995732273553991,2.995732273553991
56,ratesall,1.0,2.995732273553991,2.995732273553991
57,hard,2.0,2.302585092994046,4.605170185988092
58,receiver,1.0,2.995732273553991,2.995732273553991
59,another,5.0,1.3862943611198906,6.931471805599453
60,payment,7.0,1.6094379124341003,11.266065387038703
61,never,15.0,0.9162907318741551,13.744360978112326
62,costsedit,1.0,2.995732273553991,2.995732273553991
63,manager,1.0,2.995732273553991,2.995732273553991
64,within,1.0,2.995732273553991,2.995732273553991
65,pull,1.0,2.995732273553991,2.995732273553991
66,credit,18.0,1.0498221244986776,18.896798240976196
67,strikes,1.0,2.995732273553991,2.995732273553991
68,amount,2.0,2.302585092994046,4.605170185988092
69,accepted,1.0,2.995732273553991,2.995732273553991
70,member,5.0,1.6094379124341003,8.047189562170502
71,lost,2.0,2.302585092994046,4.605170185988092
72,hit,2.0,2.302585092994046,4.605170185988092
73,shady,1.0,2.995732273553991,2.995732273553991
74,hetty,1.0,2.995732273553991,2.995732273553991
75,apex,13.0,0.7985076962177716,10.380600050831031
76,away,4.0,1.6094379124341003,6.437751649736401
77,dont,6.0,1.2039728043259361,7.223836825955617
78,following,1.0,2.995732273553991,2.995732273553991
79,receiving,1.0,2.995732273553991,2.995732273553991
80,denial,1.0,2.995732273553991,2.995732273553991
81,ratefor,1.0,2.995732273553991,2.995732273553991
82,high,3.0,1.8971199848858813,5.691359954657644
83,like,4.0,1.6094379124341003,6.437751649736401
84,owner,1.0,2.995732273553991,2.995732273553991
85,purchase,2.0,2.302585092994046,4.605170185988092
86,ll,1.0,0.3566749439387324,0.3566749439387324
87,transfer,1.0,1.8971199848858813,1.8971199848858813
88,limit,6.0,1.6094379124341003,9.656627474604601
89,isa,4.0,1.8971199848858813,7.588479939543525
90,line,2.0,1.8971199848858813,3.7942399697717626
91,union,1.0,2.995732273553991,2.995732273553991
92,increase,1.0,2.995732273553991,2.995732273553991
93,requested,1.0,2.995732273553991,2.995732273553991
94,well,2.0,2.302585092994046,4.605170185988092
95,one,3.0,0.6931471805599453,2.0794415416798357
96,663,1.0,2.995732273553991,2.995732273553991
97,even,6.0,1.8971199848858813,11.382719909315288
98,fact,2.0,2.302585092994046,4.605170185988092
99,actually,1.0,2.995732273553991,2.995732273553991
100,raise,1.0,2.995732273553991,2.995732273553991
101,1000,1.0,2.995732273553991,2.995732273553991
102,going,1.0,2.995732273553991,2.995732273553991
103,cargo,1.0,2.995732273553991,2.995732273553991
104,yes,1.0,2.995732273553991,2.995732273553991
105,discover,1.0,2.302585092994046,2.302585092994046
106,capital,1.0,2.995732273553991,2.995732273553991
107,1500,1.0,2.995732273553991,2.995732273553991
108,rely,2.0,2.302585092994046,4.605170185988092
109,may,4.0,1.8971199848858813,7.588479939543525
110,small,2.0,2.302585092994046,4.605170185988092
111,since,3.0,2.302585092994046,6.907755278982138
112,given,1.0,2.995732273553991,2.995732273553991
113,perfect,2.0,2.302585092994046,4.605170185988092
114,give,5.0,1.3862943611198906,6.931471805599453
