,Words,TF,IDF,TF-IDF
0,business,6.0,2.995732273553991,17.974393641323946
1,express,16.0,0.9162907318741551,14.660651709986482
2,american,16.0,0.9162907318741551,14.660651709986482
3,make,6.0,1.6094379124341003,9.656627474604601
4,pay,12.0,1.0498221244986776,12.59786549398413
5,card,23.0,0.5978370007556204,13.75025101737927
6,account,6.0,1.8971199848858813,11.382719909315288
7,get,11.0,1.0498221244986776,11.548043369485454
8,take,2.0,2.302585092994046,4.605170185988092
9,full,6.0,1.6094379124341003,9.656627474604601
10,company,11.0,1.0498221244986776,11.548043369485454
11,time,10.0,1.2039728043259361,12.03972804325936
12,ownership,2.0,2.995732273553991,5.991464547107982
13,customer,17.0,0.43078291609245434,7.3233095735717235
14,new,4.0,1.6094379124341003,6.437751649736401
15,personal,2.0,2.995732273553991,5.991464547107982
16,use,6.0,0.9162907318741551,5.497744391244931
17,control,2.0,2.995732273553991,5.991464547107982
18,interest,6.0,2.302585092994046,13.815510557964275
19,approved,2.0,2.995732273553991,5.991464547107982
20,ll,1.0,0.3566749439387324,0.3566749439387324
21,manager,1.0,2.995732273553991,2.995732273553991
22,transfer,1.0,1.8971199848858813,1.8971199848858813
23,think,1.0,2.995732273553991,2.995732273553991
24,holder,2.0,2.302585092994046,4.605170185988092
25,tell,3.0,2.302585092994046,6.907755278982138
26,say,5.0,1.6094379124341003,8.047189562170502
27,financing,1.0,2.995732273553991,2.995732273553991
28,strikes,1.0,2.995732273553991,2.995732273553991
29,loins,1.0,2.995732273553991,2.995732273553991
30,3,2.0,1.3862943611198906,2.772588722239781
31,avoid,3.0,1.8971199848858813,5.691359954657644
32,accepted,1.0,2.995732273553991,2.995732273553991
33,year,9.0,0.9162907318741551,8.246616586867397
34,opening,1.0,2.995732273553991,2.995732273553991
35,horrible,1.0,2.995732273553991,2.995732273553991
36,like,4.0,1.6094379124341003,6.437751649736401
37,member,5.0,1.6094379124341003,8.047189562170502
38,ratefor,1.0,2.995732273553991,2.995732273553991
39,shady,1.0,2.995732273553991,2.995732273553991
40,approvedlets,1.0,2.995732273553991,2.995732273553991
41,payment,7.0,1.6094379124341003,11.266065387038703
42,costsedit,1.0,2.995732273553991,2.995732273553991
43,open,1.0,1.6094379124341003,1.6094379124341003
44,lost,2.0,2.302585092994046,4.605170185988092
45,dusty,1.0,2.995732273553991,2.995732273553991
46,owner,1.0,2.995732273553991,2.995732273553991
47,said,3.0,1.8971199848858813,5.691359954657644
48,large,1.0,2.995732273553991,2.995732273553991
49,stuck,1.0,2.995732273553991,2.995732273553991
50,away,4.0,1.6094379124341003,6.437751649736401
51,credit,18.0,1.0498221244986776,18.896798240976196
52,talk,1.0,2.995732273553991,2.995732273553991
53,fee,7.0,1.8971199848858813,13.279839894201169
54,approval,1.0,2.995732273553991,2.995732273553991
55,phone,3.0,2.302585092994046,6.907755278982138
56,never,15.0,0.9162907318741551,13.744360978112326
57,support,2.0,2.302585092994046,4.605170185988092
58,another,5.0,1.3862943611198906,6.931471805599453
59,change,1.0,2.995732273553991,2.995732273553991
60,denial,1.0,2.995732273553991,2.995732273553991
61,openly,1.0,2.995732273553991,2.995732273553991
62,changing,1.0,2.995732273553991,2.995732273553991
63,purchase,2.0,2.302585092994046,4.605170185988092
64,high,3.0,1.8971199848858813,5.691359954657644
65,receiver,1.0,2.995732273553991,2.995732273553991
66,partner,1.0,2.995732273553991,2.995732273553991
67,reality,1.0,2.995732273553991,2.995732273553991
68,ratesall,1.0,2.995732273553991,2.995732273553991
69,amount,2.0,2.302585092994046,4.605170185988092
70,hard,2.0,2.302585092994046,4.605170185988092
71,following,1.0,2.995732273553991,2.995732273553991
72,everyone,1.0,2.995732273553991,2.995732273553991
73,making,2.0,2.302585092994046,4.605170185988092
74,hit,2.0,2.302585092994046,4.605170185988092
75,hetty,1.0,2.995732273553991,2.995732273553991
76,asked,6.0,1.3862943611198906,8.317766166719343
77,month,4.0,1.6094379124341003,6.437751649736401
78,switch,1.0,2.995732273553991,2.995732273553991
79,dont,6.0,1.2039728043259361,7.223836825955617
80,pull,1.0,2.995732273553991,2.995732273553991
81,apex,13.0,0.7985076962177716,10.380600050831031
82,within,1.0,2.995732273553991,2.995732273553991
83,receiving,1.0,2.995732273553991,2.995732273553991
84,denied,4.0,1.8971199848858813,7.588479939543525
85,annual,1.0,2.995732273553991,2.995732273553991
86,network,1.0,2.995732273553991,2.995732273553991
87,leaf,1.0,2.995732273553991,2.995732273553991
88,limit,6.0,1.6094379124341003,9.656627474604601
89,isa,4.0,1.8971199848858813,7.588479939543525
90,capital,1.0,2.995732273553991,2.995732273553991
91,small,2.0,2.302585092994046,4.605170185988092
92,requested,1.0,2.995732273553991,2.995732273553991
93,given,1.0,2.995732273553991,2.995732273553991
94,rely,2.0,2.302585092994046,4.605170185988092
95,quicksilver,1.0,2.995732273553991,2.995732273553991
96,right,2.0,2.302585092994046,4.605170185988092
97,value,1.0,2.302585092994046,2.302585092994046
98,1000,1.0,2.995732273553991,2.995732273553991
99,in,2.0,0.16251892949777494,0.3250378589955499
100,line,2.0,1.8971199848858813,3.7942399697717626
101,actually,1.0,2.995732273553991,2.995732273553991
102,perfect,2.0,2.302585092994046,4.605170185988092
103,would,3.0,1.8971199848858813,5.691359954657644
104,utilization,1.0,2.995732273553991,2.995732273553991
105,yes,1.0,2.995732273553991,2.995732273553991
106,well,2.0,2.302585092994046,4.605170185988092
107,two,1.0,1.8971199848858813,1.8971199848858813
108,one,3.0,0.6931471805599453,2.0794415416798357
109,may,4.0,1.8971199848858813,7.588479939543525
110,raise,1.0,2.995732273553991,2.995732273553991
111,1500,1.0,2.995732273553991,2.995732273553991
112,fact,2.0,2.302585092994046,4.605170185988092
113,even,6.0,1.8971199848858813,11.382719909315288
114,going,1.0,2.995732273553991,2.995732273553991
